image,caption,gallery
results/BeaconHill01.JPG,Jefferson Park Skatepark in Beacon Hill.,beacon-hill
results/BeaconHill02.JPG,The view south from the 40th floor of the Key Tower. The building at the top is the PacMed Tower on Beacon Hill.,beacon-hill
results/BeaconHill03.JPG,Baja Bistro Bar in Beacon Hill.,beacon-hill
results/Bellevue01.JPG,Downtown Park in Bellevue.,bellevue
results/Bellevue02.JPG,Downtown Bellevue's old main street.,bellevue
results/Bellevue03.JPG,Bellevue Square near the Clyde Hill neighborhood.,bellevue
results/Bellevue04.JPG,Bellevue Art Museum,bellevue
results/CapitolHill01.JPG,Cal Anderson Park in Capitol Hill,first-capitol-hill
results/CapitolHill02.JPG,"The very popular Espresso Vivace sidewalk bar on Broadway, started as a cart and is now a bit more substantial. (David Schomer / Vivace)",first-capitol-hill
results/CapitolHill03.jpg,"One of the few monuments dedicated to the late rocker Jimi Hendrix is a statue on Broadway Avenue near Seattle Central Community College in Seattle. The statue, entitled ""The Electric Lady Studio Guitar"", was made by artist Daryl Smith.",first-capitol-hill
results/CapitolHill04.JPG,Everyday Music on Capitol Hill.,first-capitol-hill
results/CapitolHill05.JPG,Capitol Hill Block Party,first-capitol-hill
results/ColumbiaCity01.JPG,"Seattle Public Library's Columbia City branch celebrated its 100th anniversary in 2015. The facility has seen a major renovation and the addition of Marvin Oliver's 1992 sculpture ""Spirit of Washington."" ",columbia-city
results/ColumbiaCity02.JPG,Columbia City in South Seattle,columbia-city
results/ColumbiaCity03.JPG,"The Columbia City Bakery, on Rainier Avenue South, is a bakery you can bike to and is a recommended detour for people riding along Lake Washington Boulevard in South Seattle.",columbia-city
results/ColumbiaCity04.JPG,Ark Lodge Cinemas in Columbia City in Seattle.,columbia-city
results/FirstHill02.JPG,Adolf Schreyer's oil painting 'The Burning Stable' at the Frye Art Museum on First Hill.,first-capitol-hill
results/FirstHill03.JPG,"St. James Cathedral, the cathedral for the Catholic Archdiocese of Seattle on First HIll",first-capitol-hill
results/FirstHill04.JPG,"Opened in 1908, the Sorrento Hotel, is a local landmark that has undergone a makeover. The renovation includes a remodeled restaurant, now called  the Dunbar Room. Jared Lovejoy, left, and Jena Thornton, are the designers responsible for the remodel. The remodel includes improved lighting and a new floor with tiles from Morocco.",first-capitol-hill
results/GreenLake01.JPG,"The lake in Green Lake, Seattle.",green-lake
results/GreenLake02.JPG,daffodils along East Green Lake Way North near Ashworth Avenue North in Seattle,green-lake
results/GreenLake03.JPG,The Green Lake Pitch 'n Putt in North Seattle.,green-lake
results/GreenLake04.JPG,Annual From Hiroshima to Hope event in Green Lake.,green-lake
results/LakeCity01.JPG,"Lake City Way NE in Lake City, Seattle.",lake-city
results/LakeCity02.JPG,Matthews Beach Park on Lake Washington in Lake City,lake-city
results/LQA01.JPG,A view of Lower Queen Anne from the Space Needle.,lower-queen-anne
results/LQA02.JPG,Fountain Lawn Stage in Lower Queen Anne.,lower-queen-anne
results/LQA03.JPG,SIFF Uptown Cinema in Seattle's Queen Anne neighborhood,lower-queen-anne
results/LQA04.JPG,Citizen on lower Queen Anne.,lower-queen-anne
results/LQA05.JPG,"The Seattle Monorail, which was built for the World's Fair in Seattle in 1962, runs on a one-mile route along Fifth Avenue from the Seattle Center to Westlake Center.The monorail travels through the Experience Music Project Museum at Seattle Center. The museum was built around the Monorail route.",lower-queen-anne
results/SLU0.JPG,Lake Union Wooden Boat Festival in Seattle,slu
results/SLU02.JPG,The Center for Wooden Boats during a free Sunday Public Sail on South Lake Union,slu
results/SLU03.JPG,Amazon's headquarters in the South Lake Union neighborhood of Seattle ,slu
results/SLU04.JPG,Seattle Urban Farm Company designed the vegetable and flower gardens on the rooftop deck of the Stackhouse Apartments in the South Lake Union neighborhood of Seattle.,slu
results/UDistrict01.JPG,Boats are moored beneath the University Bridge as Seattle's University District neighborhood rises beyond. (Elaine Thompson / The Associated Press),u-district
results/UDistrict02.JPG,University District Street Fair,u-district
results/UDistrict03.jpg,Looking straight down Pierce Lane in the University of Washington Quad produces a great view of the 30 Yoshino Cherry Trees that are in full swing during their two weeks of peak beauty.,u-district
results/UDistrict04.JPG,Suzzallo Library and Allen Library UW,u-district
